Mar 19 15:33:39 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:33:39.764+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreicbmpg7rdsdtiwt7uaj3ajhe4m23aoajyytym7ebc2muzrxdmpazi ShardSize:393216, DataShards:1, ParityShards:4, RSTime:5.005µs, OtherTime:173.694927ms, TotalDataSize:1132, TotalDataAndParitySize:5660, RSRate:2.2617382617382616e+08, ToTalDataRate:6516.9836046969995
Mar 19 15:34:41 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:34:41.164+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmRb2SaLsjYoi3jbJCz8kNQmF7HEoDkYgYk46pGdV8Ub5D ShardSize:27131904, DataShards:10, ParityShards:4, RSTime:437.200152ms, OtherTime:29.687524067s, TotalDataSize:268487122, TotalDataAndParitySize:376525290, RSRate:6.141057380053244e+08, ToTalDataRate:8.912517157448737e+06
Mar 19 15:35:40 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:35:40.054+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmbHDMXL9QVXheRdVkJbZ9a9iomhKQmG5vS5nNMLBBApKE ShardSize:53870592, DataShards:10, ParityShards:4, RSTime:634.427943ms, OtherTime:58.220408269s, TotalDataSize:536974138, TotalDataAndParitySize:752001898, RSRate:8.463910581567811e+08, ToTalDataRate:9.123704539693845e+06
Mar 19 15:37:28 cluster00 ipfs-cluster-service[16436]: 2024-03-19T15:37:28.386+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmTVG6wVAAFypXyXh1vLjUn8rNgo5KjRV9JJdxphKR68t1 ShardSize:53870592, DataShards:20, ParityShards:8, RSTime:1.603379716s, OtherTime:1m46.686833038s, TotalDataSize:1073948171, TotalDataAndParitySize:1504003691, RSRate:6.69802767418819e+08, ToTalDataRate:9.917315175797092e+06
Mar 19 16:01:54 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:54.501+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreieij7gmubqi4ko7x6hhhropq5wimep45plibgkrvetkct2b4jnzju ShardSize:393216, DataShards:1, ParityShards:4, RSTime:4.481µs, OtherTime:167.889335ms, TotalDataSize:1132, TotalDataAndParitySize:5660, RSRate:2.5262218254853827e+08, ToTalDataRate:6742.351026116139
Mar 19 16:01:54 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:54.741+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreiaopjgw5nij6tv7necprdka4sxfx3jpbybczwmm2ujkbobyrjsuei ShardSize:393216, DataShards:1, ParityShards:4, RSTime:7.521µs, OtherTime:213.097733ms, TotalDataSize:2156, TotalDataAndParitySize:10780, RSRate:2.8666400744581836e+08, ToTalDataRate:10117.062199219765
Mar 19 16:01:55 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:55.013+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreif4n5hcljo4t2gn5kvpb3u4x45lct6e4ke6mkfwhw7yunj443vxgu ShardSize:393216, DataShards:1, ParityShards:4, RSTime:21.618µs, OtherTime:246.499173ms, TotalDataSize:4204, TotalDataAndParitySize:21020, RSRate:1.9446757331853086e+08, ToTalDataRate:17053.32526131787
Mar 19 16:01:55 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:55.300+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreifczqex5g2ozdh43rof2tx3i6k3qvzbvpi5cvbkdw5gp52z2rv4am ShardSize:393216, DataShards:1, ParityShards:4, RSTime:15.672µs, OtherTime:259.609996ms, TotalDataSize:8300, TotalDataAndParitySize:41500, RSRate:5.29606942317509e+08, ToTalDataRate:31969.09138885138
Mar 19 16:01:55 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:55.563+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreiaotkou6imtllfkvxcpfethcqg434temgeqdxyufv2k3dqamfcmz4 ShardSize:393216, DataShards:1, ParityShards:4, RSTime:26.922µs, OtherTime:237.139549ms, TotalDataSize:16493, TotalDataAndParitySize:82465, RSRate:6.126216477230518e+08, ToTalDataRate:69541.84903921356
Mar 19 16:01:55 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:55.822+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreibxqj7u4wmgn7c3q3wn5u7d4ocuvxabczj7hsumfps2yktrl76coa ShardSize:393216, DataShards:1, ParityShards:4, RSTime:66.864µs, OtherTime:230.596126ms, TotalDataSize:32877, TotalDataAndParitySize:164385, RSRate:4.9169956927494615e+08, ToTalDataRate:142532.5525738519
Mar 19 16:01:56 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:56.113+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreib2l7l6diqvtn6sxobbfalypzgdekrqhgnnlngvbawu3arhnmzm4m ShardSize:393216, DataShards:1, ParityShards:4, RSTime:87.072µs, OtherTime:267.806192ms, TotalDataSize:65645, TotalDataAndParitySize:328225, RSRate:7.539162991547226e+08, ToTalDataRate:245041.57468415526
Mar 19 16:01:56 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:56.364+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreia6lm7l3lczzzaw6bz7pasct6abqig2cp2ftaoa7wkxo63iu6cx2u ShardSize:393216, DataShards:1, ParityShards:4, RSTime:79.017µs, OtherTime:223.057623ms, TotalDataSize:131181, TotalDataAndParitySize:655905, RSRate:1.6601617373476593e+09, ToTalDataRate:587894.9911208724
Mar 19 16:01:56 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:56.657+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreigevdnrkn77vjpll66t5cr4r5a422nyexwyzngk2tvy4efp4jipai ShardSize:393216, DataShards:1, ParityShards:4, RSTime:273.234µs, OtherTime:268.318424ms, TotalDataSize:262253, TotalDataAndParitySize:1311265, RSRate:9.598110044869964e+08, ToTalDataRate:976400.0206112056
Mar 19 16:01:57 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:57.010+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmYFUKQndBmYBV8AWvgTHBUXSqp9Uc5jVT4YjwD1uJyRDD ShardSize:393216, DataShards:2, ParityShards:4, RSTime:362.965µs, OtherTime:327.24361ms, TotalDataSize:524490, TotalDataAndParitySize:1573874, RSRate:1.4450153596076758e+09, ToTalDataRate:1.6009730780850695e+06
Mar 19 16:01:57 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:57.437+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmRQVF8WhGjqazc98F4T3D7eKEnURTB5L4ENtdgmsiiBUr ShardSize:393216, DataShards:4, ParityShards:4, RSTime:774.844µs, OtherTime:397.344251ms, TotalDataSize:1048878, TotalDataAndParitySize:2098662, RSRate:1.3536634470938666e+09, ToTalDataRate:2.6345831127733183e+06
Mar 19 16:01:58 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:58.123+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmYr6QDqqsuk4XyGZLg4nGJHQ9PT6FTGNLWL81NQqt7LSj ShardSize:393216, DataShards:8, ParityShards:4, RSTime:1.471463ms, OtherTime:665.472729ms, TotalDataSize:2097656, TotalDataAndParitySize:3148248, RSRate:1.4255581010191898e+09, ToTalDataRate:3.145174088460116e+06
Mar 19 16:01:58 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:58.906+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmeAZmoViEnBv6SnBuJiBSTwcexd9iyZY43XuvcGHnjb8n ShardSize:655360, DataShards:8, ParityShards:4, RSTime:764.536µs, OtherTime:756.048993ms, TotalDataSize:4195208, TotalDataAndParitySize:6295976, RSRate:5.48726024673789e+09, ToTalDataRate:5.543251454112378e+06
Mar 19 16:01:59 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:01:59.896+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmUL2ZWcSvCEdqUdJGkYEvpuyZwbqGLnAnnNQVWEDVWs82 ShardSize:1179648, DataShards:8, ParityShards:4, RSTime:1.458035ms, OtherTime:965.797006ms, TotalDataSize:8390313, TotalDataAndParitySize:12591437, RSRate:5.754534699098444e+09, ToTalDataRate:8.674353418897493e+06
Mar 19 16:02:01 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:02:01.416+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST Qmcw5SLFDN5mwSpLRLkUmDvrK7qhDMPDF322PMCpoNgem7 ShardSize:1966080, DataShards:10, ParityShards:4, RSTime:11.267254ms, OtherTime:1.482797284s, TotalDataSize:16780521, TotalDataAndParitySize:24120553, RSRate:1.4893177166326418e+09, ToTalDataRate:1.1231456258428326e+07
Mar 19 16:02:04 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:02:04.458+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmQijFV5GidbtwpnZkEzEit9zv2oxFVEXXaQKkQc1hVbEA ShardSize:3538944, DataShards:10, ParityShards:4, RSTime:38.326335ms, OtherTime:2.976820857s, TotalDataSize:33560937, TotalDataAndParitySize:47192425, RSRate:8.756625698752568e+08, ToTalDataRate:1.1130778131772961e+07
Mar 19 16:02:11 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:02:11.597+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST Qmdoz97rscHeULF9onDsZWPtTAu3F8XqZa3jRwQmtZfPyK ShardSize:6946816, DataShards:10, ParityShards:4, RSTime:76.118795ms, OtherTime:7.036446688s, TotalDataSize:67121888, TotalDataAndParitySize:94419704, RSRate:8.81804395353342e+08, ToTalDataRate:9.437085317899575e+06
Mar 19 16:02:25 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:02:25.126+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmeiMrYmFeDXeJfwyAwFiBP97rXkUuJREo4bdYr2txZgeB ShardSize:13762560, DataShards:10, ParityShards:4, RSTime:247.19343ms, OtherTime:13.257068s, TotalDataSize:134243612, TotalDataAndParitySize:188804404, RSRate:5.430711164127623e+08, ToTalDataRate:9.940833205514237e+06
Mar 19 16:02:56 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:02:56.698+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST Qmb3CUAn2BndU4yaNhy2FyRX7KrfKAVBgn6v8YueKGRpf3 ShardSize:27131904, DataShards:10, ParityShards:4, RSTime:468.584055ms, OtherTime:31.07225137s, TotalDataSize:268487122, TotalDataAndParitySize:376525290, RSRate:5.729753693817004e+08, ToTalDataRate:8.512365551187424e+06
Mar 19 16:03:52 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:03:52.116+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmUWmDAZKZr5jcb3NBLBXofnRhvjeS7bmSt16Wcg5aAtVW ShardSize:53870592, DataShards:10, ParityShards:4, RSTime:333.606526ms, OtherTime:55.052685392s, TotalDataSize:536974138, TotalDataAndParitySize:752001898, RSRate:1.6096032186132953e+09, ToTalDataRate:9.695072879002005e+06
Mar 19 16:05:46 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:05:46.781+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmRVN5hvQD4VCLpmpjhBkXxJvP3KFnvCET4Bk4vmFsrXyh ShardSize:53870592, DataShards:20, ParityShards:8, RSTime:1.44825333s, OtherTime:1m53.154583109s, TotalDataSize:1073948171, TotalDataAndParitySize:1504003691, RSRate:7.415471787660244e+08, ToTalDataRate:9.371043538320096e+06
Mar 19 16:27:16 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:16.228+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreidn3y56clcbnslyylxux4reuxnogckzfl3dyq464fezr4e4xjg434 ShardSize:393216, DataShards:1, ParityShards:4, RSTime:5.827µs, OtherTime:161.637457ms, TotalDataSize:1132, TotalDataAndParitySize:5660, RSRate:1.942680624678222e+08, ToTalDataRate:7003.070196703188
Mar 19 16:27:16 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:16.459+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreicnq534hjk5uthmp3cagoeyyotbi44c7pgscv6pnfhegxpxginuty ShardSize:393216, DataShards:1, ParityShards:4, RSTime:5.635µs, OtherTime:192.880795ms, TotalDataSize:2156, TotalDataAndParitySize:10780, RSRate:3.826086956521739e+08, ToTalDataRate:11177.557728625085
Mar 19 16:27:16 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:16.703+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreiecdsks5r4ypz4lz4lhvehwltdwy4yt2xc6odoszphpuybjqjxixe ShardSize:393216, DataShards:1, ParityShards:4, RSTime:5.436µs, OtherTime:209.99092ms, TotalDataSize:4204, TotalDataAndParitySize:21020, RSRate:7.733627667402501e+08, ToTalDataRate:20019.38613733416
Mar 19 16:27:16 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:16.986+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreihb5xvnocctpxybfcpxau7pusuz4fcs7ooqh5plpvxqlpjjy63k2a ShardSize:393216, DataShards:1, ParityShards:4, RSTime:6.079µs, OtherTime:248.157479ms, TotalDataSize:8300, TotalDataAndParitySize:41500, RSRate:1.3653561441026485e+09, ToTalDataRate:33445.675207234744
Mar 19 16:27:17 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:17.252+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreihzap7rglggtdojurcqw52thmwrhpupt5b42xaloofark2qjkbx2u ShardSize:393216, DataShards:1, ParityShards:4, RSTime:7.099µs, OtherTime:211.50188ms, TotalDataSize:16493, TotalDataAndParitySize:82465, RSRate:2.323284969714044e+09, ToTalDataRate:77977.75046515622
Mar 19 16:27:17 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:17.499+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreihweary6qngat5ifj5ucwurilzm3af5povw7m2ok43kezflt3x4ri ShardSize:393216, DataShards:1, ParityShards:4, RSTime:26.844µs, OtherTime:203.184473ms, TotalDataSize:32877, TotalDataAndParitySize:164385, RSRate:1.2247429593205185e+09, ToTalDataRate:161787.19514165015
Mar 19 16:27:17 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:17.792+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreigwsiwfp244a7uuywtnhrshbjiiryztzjhi7xnsqwmxri262qss4e ShardSize:393216, DataShards:1, ParityShards:4, RSTime:14.369µs, OtherTime:245.630248ms, TotalDataSize:65645, TotalDataAndParitySize:328225, RSRate:4.568515554318324e+09, ToTalDataRate:267235.44454287476
Mar 19 16:27:18 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:18.044+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreigslfbjxhze7yxbva74vlynm2udom7u7qichkz2ynpeu3p4l4zogq ShardSize:393216, DataShards:1, ParityShards:4, RSTime:32.026µs, OtherTime:215.639327ms, TotalDataSize:131181, TotalDataAndParitySize:655905, RSRate:4.09607818647349e+09, ToTalDataRate:608244.4180634826
Mar 19 16:27:18 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:18.343+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST bafkreicgtmnzbll6fcrwxtk62ewog5qtkzm6cehzolp7rhtq7hdcvak72q ShardSize:393216, DataShards:1, ParityShards:4, RSTime:43.717µs, OtherTime:250.137854ms, TotalDataSize:262253, TotalDataAndParitySize:1311265, RSRate:5.998879154562298e+09, ToTalDataRate:1.048250148564026e+06
Mar 19 16:27:18 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:18.690+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmZnJugz3j4RqdRqwVY3y7HuDjD6JBoTjDZHAms4X9PTD9 ShardSize:393216, DataShards:2, ParityShards:4, RSTime:111.84µs, OtherTime:312.783469ms, TotalDataSize:524490, TotalDataAndParitySize:1573874, RSRate:4.689645922746781e+09, ToTalDataRate:1.6762467566643504e+06
Mar 19 16:27:19 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:19.100+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmUtaQQAkuiEH47BtwoPDLH8ymp3SymGmZjzmJZjDbGC7R ShardSize:393216, DataShards:4, ParityShards:4, RSTime:264.998µs, OtherTime:375.551449ms, TotalDataSize:1048878, TotalDataAndParitySize:2098662, RSRate:3.9580600608306475e+09, ToTalDataRate:2.7909311901611728e+06
Mar 19 16:27:19 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:19.741+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmeSVjajBk8jkdnRbT7ugtqDu2atNGvpNKaf6xQnz3eQdY ShardSize:393216, DataShards:8, ParityShards:4, RSTime:383.707µs, OtherTime:608.783547ms, TotalDataSize:2097656, TotalDataAndParitySize:3148248, RSRate:5.4668171286945505e+09, ToTalDataRate:3.443480972939555e+06
Mar 19 16:27:20 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:20.499+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmXbNoLZyMYeNf4cPxEJwSmNfKmPXkTHZaFKVaNEjhcPJD ShardSize:655360, DataShards:8, ParityShards:4, RSTime:771.246µs, OtherTime:721.439571ms, TotalDataSize:4195208, TotalDataAndParitySize:6295976, RSRate:5.439519945646396e+09, ToTalDataRate:5.808839444997465e+06
Mar 19 16:27:21 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:21.477+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmSEYMcLKo3KEThmVyhqqVLxAw1DMNsga1ekjHGNVxAWVk ShardSize:1179648, DataShards:8, ParityShards:4, RSTime:5.472978ms, OtherTime:934.806003ms, TotalDataSize:8390313, TotalDataAndParitySize:12591437, RSRate:1.5330434363156586e+09, ToTalDataRate:8.923215695297698e+06
Mar 19 16:27:22 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:22.895+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmY7uDq63AzdraNgDd78hLoiRTQLQkFBHLWGLcwEb1jhrK ShardSize:1966080, DataShards:10, ParityShards:4, RSTime:17.652774ms, OtherTime:1.367313778s, TotalDataSize:16780521, TotalDataAndParitySize:24120553, RSRate:9.505883324626486e+08, ToTalDataRate:1.2116191223660415e+07
Mar 19 16:27:25 cluster00 ipfs-cluster-service[36387]: 2024-03-19T16:27:25.942+0800        ERROR        shardingdags        sharding/dag_service.go:161        ECTEST QmUfanod8PPfo5bq9TEL9KKPSteEhrVeVx6qmdxbC4YoCK ShardSize:3538944, DataShards:10, ParityShards:4, RSTime:26.168283ms, OtherTime:2.977347582s, TotalDataSize:33560937, TotalDataAndParitySize:47192425, RSRate:1.2825043584250445e+09, ToTalDataRate:1.117388356974516e+07
